scenario,before_score,after_score,score_delta,before_rank,after_rank,rank_delta
Peer assessment +0.2 (both survey years),82.11886928260438,83.80980457721795,1.690935294613567,25.0,19.0,6.0
"Combo: peer +0.1, grad rate +1pt, S/F ratio -1",82.11886928260438,83.79366339177068,1.6747941091662994,25.0,19.0,6.0
Peer assessment +0.1 (both survey years),82.11886928260438,82.9647695513206,0.8459002687162211,25.0,21.0,4.0
Six-year grad rate +1 pt (all 4 cohorts),82.11886928260438,82.73605884017343,0.6171895575690485,25.0,21.0,4.0
Six-year grad rate +2 pt (all 4 cohorts),82.11886928260438,83.35312181217625,1.2342525295718758,25.0,21.0,4.0
"Avg faculty salary +$10,000",82.11886928260438,82.76611409730369,0.647244814699306,25.0,21.0,4.0
Actual grad rate +2 pt (boosts grad-rate performance too),82.11886928260438,82.72691076297842,0.608041480374041,25.0,21.0,4.0
"Educational expenditure/student +$10,000",82.11886928260438,82.358825307021,0.2399560244166139,25.0,25.0,0.0
"Educational expenditure/student +$5,000",82.11886928260438,82.21885095944465,0.09998167684027237,25.0,25.0,0.0
Student/faculty ratio -1 (14 -> 13),82.11886928260438,82.33037733345974,0.2115080508553575,25.0,25.0,0.0
Pct faculty full-time +2 pt,82.11886928260438,82.1855344115958,0.06666512899141708,25.0,25.0,0.0
