Name,Value,Metric description,Issue year,School Type,School ID,Public/Private,Setting,IPEDS ID,Footnote
University of Virginia,16.0,First-year retention rate rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,22.0,Peer Assessment Rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,47.0,Financial resources rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,246.0,Graduation rate performance rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,33.0,Faculty salary rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,353.0,Pell grant graduation rate rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,293.0,Pell grant graduation performance rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,6.0,% of faculty who are full-time rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,171.0,Student to faculty ratio rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,31.0,Standardized tests rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,10.0,Graduation rate rank*,2020,National Universities,6968,Public,,234076,
University of Virginia,14.0,First-year retention rate rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,18.0,Peer Assessment Rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,44.0,Financial resources rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,233.0,Graduation rate performance rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,32.0,Faculty salary rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,350.0,Pell grant graduation rate rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,272.0,Pell grant graduation performance rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,7.0,% of faculty who are full-time rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,150.0,Student to faculty ratio rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,58.0,Borrower debt rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,31.0,Standardized tests rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,10.0,Graduation rate rank*,2021,National Universities,6968,Public,,234076,
University of Virginia,7.0,First-year retention rate rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,19.0,Peer Assessment Rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,41.0,Financial resources rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,219.0,Graduation rate performance rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,30.0,Faculty salary rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,329.0,Pell grant graduation rate rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,258.0,Pell grant graduation performance rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,8.0,% of faculty who are full-time rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,144.0,Student to faculty ratio rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,53.0,Borrower debt rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,29.0,Standardized tests rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,10.0,Graduation rate rank*,2022,National Universities,6968,Public,,234076,
University of Virginia,12.0,First-year retention rate rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,19.0,Peer Assessment Rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,44.0,Financial resources rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,257.0,Graduation rate performance rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,26.0,Faculty salary rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,393.0,Pell grant graduation rate rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,328.0,Pell grant graduation performance rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,4.0,% of faculty who are full-time rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,210.0,Student to faculty ratio rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,54.0,Borrower debt rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,20.0,Standardized tests rank*,2023,National Universities,6968,Public,,234076,
University of Virginia,16.0,Graduation rate rank*,2023,National Universities,6968,Public,,234076,
